technology,hour,value
WindOnshore,1,0.373125878
WindOnshore,2,0.286887754
WindOnshore,3,0.738680964
WindOnshore,4,0.903366478
WindOnshore,5,0.908692297
WindOnshore,6,0.339000724
WindOnshore,7,0.054324503
WindOnshore,8,0.034200235
WindOnshore,9,0.389877142
WindOnshore,10,0.442083387
WindOnshore,11,0.422362716
WindOnshore,12,0.137058141
WindOnshore,13,0.193307448
WindOnshore,14,0.203394819
WindOnshore,15,0.189564037
WindOnshore,16,0.159038016
WindOnshore,17,0.157167775
WindOnshore,18,0.112657648
WindOnshore,19,0.053598886
WindOnshore,20,0.224235218
WindOnshore,21,0.216760418
WindOnshore,22,0.215348399
WindOnshore,23,0.02578778
WindOnshore,24,0.047568954
WindOnshore,25,0.057721855
WindOnshore,26,0.073503466
WindOnshore,27,0.022552782
WindOnshore,28,0.085466216
WindOnshore,29,0.508915197
WindOnshore,30,0.9765
WindOnshore,31,0.859313458
WindOnshore,32,0.33237501
WindOnshore,33,0.203394819
WindOnshore,34,0.326408736
WindOnshore,35,0.437019758
WindOnshore,36,0.298573232
WindOnshore,37,0.154654042
WindOnshore,38,0.079828141
WindOnshore,39,0.096226021
WindOnshore,40,0.108053554
WindOnshore,41,0.169578338
WindOnshore,42,0.136052397
WindOnshore,43,0.171174059
WindOnshore,44,0.110865753
WindOnshore,45,0.07321759
WindOnshore,46,0.02418148
WindOnshore,47,0.009814199
WindOnshore,48,0.029982723
WindOnshore,49,0.196931313
WindOnshore,50,0.549997256
WindOnshore,51,0.50174899
WindOnshore,52,0.318392361
WindOnshore,53,0.037332991
WindOnshore,54,0.02970141
WindOnshore,55,0.015957968
WindOnshore,56,0.052711877
WindOnshore,57,0.109516762
WindOnshore,58,0.086545967
WindOnshore,59,0.061411158
WindOnshore,60,0.098108539
WindOnshore,61,0.194865001
WindOnshore,62,0.343224501
WindOnshore,63,0.227853325
WindOnshore,64,0.165649677
WindOnshore,65,0.074757554
WindOnshore,66,0.110746555
WindOnshore,67,0.083723725
WindOnshore,68,0.115941632
WindOnshore,69,0.203487535
WindOnshore,70,0.190201845
WindOnshore,71,0.108329991
WindOnshore,72,0.005897587
WindOnshore,73,0.008965551
WindOnshore,74,0.046646162
WindOnshore,75,0.107698401
WindOnshore,76,0.103889737
WindOnshore,77,0.153573714
WindOnshore,78,0.157298075
WindOnshore,79,0.149829217
WindOnshore,80,0.155000153
WindOnshore,81,0.166266121
WindOnshore,82,0.228569147
WindOnshore,83,0.208603303
WindOnshore,84,0.210985993
WindOnshore,85,0.3477266
WindOnshore,86,0.280335161
WindOnshore,87,0.22828275
WindOnshore,88,0.082358512
WindOnshore,89,0.111342873
WindOnshore,90,0.094810754
WindOnshore,91,0.089016265
WindOnshore,92,0.045759761
WindOnshore,93,0.079536088
WindOnshore,94,0.091958588
WindOnshore,95,0.064882243
WindOnshore,96,0.008314681
WindOnshore,97,0.026356785
WindOnshore,98,0.046424139
WindOnshore,99,0.043594891
WindOnshore,100,0.006311527
WindOnshore,101,0.0029
WindOnshore,102,0.036112464
WindOnshore,103,0.258640988
WindOnshore,104,0.496869654
WindOnshore,105,0.675008509
WindOnshore,106,0.763770768
WindOnshore,107,0.58925722
WindOnshore,108,0.399680572
WindOnshore,109,0.267097024
WindOnshore,110,0.299441577
WindOnshore,111,0.438762246
WindOnshore,112,0.274770542
WindOnshore,113,0.336420158
WindOnshore,114,0.165297684
WindOnshore,115,0.244410175
WindOnshore,116,0.17424306
WindOnshore,117,0.506348755
WindOnshore,118,0.712341764
WindOnshore,119,0.736951751
WindOnshore,120,0.613690617
SolarPV,4,0.091617708
SolarPV,5,0.12008196
SolarPV,6,0.17130299
SolarPV,7,0.00865971
SolarPV,25,0.188380795
SolarPV,26,0.303984891
SolarPV,27,0.478771914
SolarPV,28,0.504005408
SolarPV,29,0.546174567
SolarPV,30,0.468937239
SolarPV,31,0.421215474
SolarPV,32,0.347634294
SolarPV,33,0.237604133
SolarPV,34,0.044560772
SolarPV,47,0.097022669
SolarPV,48,0.298995025
SolarPV,49,0.457243282
SolarPV,50,0.541008018
SolarPV,51,0.650910648
SolarPV,52,0.65988353
SolarPV,53,0.709
SolarPV,54,0.612979442
SolarPV,55,0.548323246
SolarPV,56,0.41428641
SolarPV,57,0.280878372
SolarPV,58,0.131115388
SolarPV,71,0.090412143
SolarPV,72,0.246482051
SolarPV,73,0.395195144
SolarPV,74,0.486778384
SolarPV,75,0.459047452
SolarPV,76,0.49209636
SolarPV,77,0.530199695
SolarPV,78,0.630791778
SolarPV,79,0.589552577
SolarPV,80,0.382024895
SolarPV,81,0.18070123
SolarPV,97,0.015320146
SolarPV,98,0.185644214
SolarPV,99,0.275802132
SolarPV,100,0.35870509
SolarPV,101,0.374923624
SolarPV,102,0.330626746
SolarPV,103,0.15507736
