hour,value
4,0.091617708
5,0.12008196
6,0.17130299
7,0.00865971
25,0.188380795
26,0.303984891
27,0.478771914
28,0.504005408
29,0.546174567
30,0.468937239
31,0.421215474
32,0.347634294
33,0.237604133
34,0.044560772
47,0.097022669
48,0.298995025
49,0.457243282
50,0.541008018
51,0.650910648
52,0.65988353
53,0.709
54,0.612979442
55,0.548323246
56,0.41428641
57,0.280878372
58,0.131115388
71,0.090412143
72,0.246482051
73,0.395195144
74,0.486778384
75,0.459047452
76,0.49209636
77,0.530199695
78,0.630791778
79,0.589552577
80,0.382024895
81,0.18070123
97,0.015320146
98,0.185644214
99,0.275802132
100,0.35870509
101,0.374923624
102,0.330626746
103,0.15507736
